Proliferating_basal,Proteasomal_basal,Differentiating_basal,KRT8high,Mucus_secretory,Ciliated,PNEC,Iono_tuft,SMG_basal,SMG_secretory
Smc2,Flna,Flna,Dusp5,Rab11fip1,Agr3,Syt1,Clnk,Lpcat2,H2-DMa
Nasp,Mt2,Thsd4,Rap2b,Msmo1,Psenen,H2-Q4,C130074G19Rik,Scara3,Tgm2
Stmn1,Cotl1,Ccl2,Clca2,Gcnt3,Armc3,Dnajc12,Rcan2,Eef2,Gmds
Nmu,Cdh13,Krt17,Spon2,AA467197,Spag6,Entpd8,Ptger3,Igfbp7,Creb3l2
Mcm7,Anxa2,Wnt4,Rapgefl1,Qsox1,Saxo2,Dpp10,Cftr,Tob1,Anpep
Mad2l1,Pkm,Spry1,Notch3,Ucp2,Cfap157,Foxa2,Rasl12,Cldn11,Saa4
Arl6ip1,Mdfi,Pcp4l1,Gstp2,Tspan8,Rsph4a,Azgp1,Enc1,Eef1a1,Smpx
Rrm1,Slc16a1,Txnip,Gdf15,Plekhs1,Capsl,Vgf,Bpifa2,Fau,Serpina3g
Mki67,Card10,Egr1,Susd4,Galnt6,Efhc1,Cpe,Nrep,Pnrc1,Serpina3a
Eif4ebp1,Ap2b1,C1s1,Zfp750,Tgm2,Fam92b,Igsf8,Hepacam2,Pik3r1,Defb1
Cenpu,Nme1,Cyp24a1,Tnfsf10,Muc5ac,Nek10,Kcnh2,Tubb2b,Nop53,Ddit4l
Gins2,Trmt112,Clstn1,Prss23,Gdf15,Dnali1,Hoxb5,Cxcr4,Defb1,Cyp4x1
Ccnb2,Ctnnal1,Pnrc1,Hey1,Adgrf1,Sntn,Pcsk1n,Epcam,Cirbp,Dmbt1
Kif23,Slc7a5,Tax1bp3,Maff,Macc1,Cfap43,Dusp26,Fam43a,Krt14,Nccrp1
Aspm,Emp3,Emp3,Gpx2,Ttc9,Morn2,Tph1,Cd24a,Bex3,Fcgbp
Smc4,Rhod,Ltbp4,Bicdl2,Muc1,Fam216b,Maob,Foxi1,Hnrnpa1,Rnf150
Ly6d,S100a10,Pik3r1,Aqp5,Liph,Odf3b,Slc26a9,Marcksl1,Cyp4x1,Cracr2b
Nudt1,Shc1,Fbxo2,Liph,Prss22,Fam183b,Bex2,Dmrt2,Arl4c,Rarres1
Anln,1190005I06Rik,Nop53,Serpinb1a,Sprr3,Omg,Kcnj6,Mfsd6l,Bex1,Foxc1
Tacc3,Krt14,Mmp1b,Plaur,Cd24a,Fhad1,Hepacam2,Foxi2,Foxc1,Cd14
Dlgap5,Gjb2,Gpr155,Gprc5a,Fcgbp,Fam229b,Tubb2b,Ncald,Pdlim1,AU021092
Cdkn3,Camk2n1,Id1,Sfn,Cracr2b,Cfap300,Bex3,B3gnt2,C1ra,Fut2
Ckap2,Hmga1,Mmp1a,Cldn4,Rarres1,Drc3,Camk2n1,Atp6v1a,Eef1d,Saa2
H2afz,Ltb4r1,Cirbp,A4galt,Upk1b,Dnah9,Phgr1,Cdh22,Cebpb,Serpina3k
Prc1,Sfn,Zfp36l2,Lurap1l,Lgals3,Ces1d,Fzd9,Tmprss11e,Npm1,Pip
Fanci,Cltb,Cavin2,Serpinb13,Atp10b,Ces1g,Bex1,Sftpb,Saa2,Cxcl17
Pclaf,Fgfbp1,Ltb4r1,Krt8,Tcim,Ces1c,Scg2,Adgrf5,Nap1l1,H2-Eb1
H2afv,Dusp7,Dlk2,Upk1b,Cxcl17,Saa2,Slc29a4,Gjc3,Tpt1,Cracr2a
Ccnb1,Vsnl1,Mmp10,Serpinb1b,Msln,Hydin,Map1b,Slc35f3,Irx1,Ppp1r1b
Mcm3,Npm3,Ch25h,Vtcn1,Cdc42ep5,Ces1e,Sv2b,Bcl2,Naca,Kdr
Clspn,Ppp1r14b,Ftl1,Fam83a,Scgb3a1,Dzip3,Cadps,Kcnh1,Ccni,Scgb3a1
Cenph,Capg,Flrt3,Tacstd2,Muc5b,Ccdc146,Otulinl,Syt17,Chil1,Muc5b
Cenpe,Npm1,Jun,Krt16,Slc31a1,Efcab1,Spock1,Slc14a1,Fxyd6,Serpina3c
Hist1h1a,Gapdh,Junb,Dsp,Lyz1,Ldlrad1,Scn3a,Sntb1,Myl9,Serpina3f
H2afx,Krt5,Krt15,Stfa3,Lyz2,Ccdc173,Espl1,H2-Q7,Lgals1,Serpina3b
Tmem106c,Sphk1,C1ra,Lypd3,Cldn3,Ces1a,Ptp4a3,H2-K1,Runx3,Lyz1
Hist1h1d,Nrg1,Tns1,Gstp3,Muc4,Ccdc78,H2-Q7,Hipk2,Grcc10,Lyz2
Hmgb2,Ldha,Fam133b,Stfa2l1,Cfb,Tuba1a,H2-K1,Kcnma1,Saa1,Saa1
Hist1h1b,Eno1,Hspa2,Gstp1,Muc16,Spef2,Ica1,Hes6,Commd6,Ccl28
Ube2s,Ehd2,Ifitm2,Calml3,,Saa1,Srrm4,H2-Q10,Selenom,Slc4a11
Cks2,Eif5a,Ptprz1,Serpinb5,,Ces1h,Cadm2,Srarp,Mia,Selenom
Hmgb1,Tmsb10,Cebpd,Klk11,,Erich3,Hes6,Gm1673,C1rb,Serpina3m
Cenpm,Snrpe,Ppp1r12b,Clca4a,,Ppil6,H2-Q10,Gm8909,Snhg8,Serpina3j
Ggh,Prmt1,Selenom,Ccnd1,,Ces1b,Insm1,Gm10499,,Serpina3i
Cenpw,,Prnp,BC100530,,Dthd1,Gm1673,H2-Bl,,
Hist2h4,,C1s2,Stfa1,,Dyx1c1,Gm8909,H2-Q6,,
,,Pou3f1,Clca4b,,Syne1,Gm10499,H2-D1,,
,,C1rb,S100a16,,Smim22,H2-Bl,Pde11a,,
,,,Nrarp,,Fam81b,H2-Q6,Scn9a,,
,,,Serpinb1c,,,H2-D1,Sox4,,
,,,BC117090,,,Myh7b,H2-Q1,,
,,,Gm4758,,,H2-Q1,Tmem61,,
,,,Gm5483,,,Tmem61,H2-Q2,,
,,,Gm5416,,,H2-Q2,Cldn25-ps,,
,,,2010005H15Rik,,,Miat,,,
