Borromeo_ASCL1_Targets,Borromeo_Oliver_NEUROD1_Targets,POU2F3_Targets,ATOH1_Targets
Mycl,Ppp2r2c,TTLL4,PLS1
,Sulf2,LAMC2,NKX2-2
,Mfng,LPAR3,ANO1
,Lgr6,RALGPS2,KDM4B
,Chd7,SMAD6,GID4
,Fzd7,SPG21,CTDNEP1
,Ankrd55,RHPN2,DIXDC1
,Angptl2,CHRNA5,LINC00261
,Eya2,SIX5,PTBP1
,Hapln1,SMAD3,ANXA11
,Bhlhe22,ERBB3,ATPAF2
,Barhl1,HSPD1,KIF14
,Syngr1,INTS13,ZNF589
,Aif1l,RPF2,CEP85
,Tcf3,CSK,DYDC2
,Eml1,GAB2,MAFF
,Pde9a,PIP5K1B,
,Col9a3,ADSS2,
,Six3,TTLL12,
,Rprm,MARS2,
,Fbxl7,ANP32E,
,Chrna3,CNDP2,
,St8sia2,EXOSC4,
,Smpd4,NOB1,
,St6galnac5,IFT172,
,Fam210b,DVL1,
,Gp9,RNF149,
,Dab2ip,RUNX1,
,Tril,ATP1A1,
,Bcar1,CABLES1,
,Clvs1,VAV1,
,Stxbp1,OTX1,
,Rhbdl3,THBS2,
,Nfia,TFRC,
,Rin1,NUDT19,
,Hlf,TNKS1BP1,
,Chrna1,SH2D2A,
,Sst,ANKRD33B,
,Numbl,ARID5B,
,Frmd6,JAK1,
,Dpf3,ATL2,
,Ubap2,PABPC1,
,Tspan18,TNFSF8,
,Thbs4,MFGE8,
,Zmiz1,SPSB4,
,Nnat,OVOL1,
,Fzd10,SH2D6,
,Grm4,MCOLN2,
,Cdkal1,SBNO2,
,Ctnnd2,MAP3K8,
,Slc7a14,PTPRJ,
,Ppp1r14a,ESF1,
,Spon1,RRBP1,
,Fam207a,PITX1,
,Myt1,GPNMB,
,Caln1,FCN3,
,Radil,SMARCA2,
,Cbx2,PPAN,
,Dpp6,CYP39A1,
,Rassf9,CCN1,
,Syt1,TMA16,
,Dand5,KIF16B,
,Frmd4a,TCFL5,
,Ntrk1,RPS10-NUDT3,
,Slc1a7,CHST9,
,Slc39a11,ZNF593,
,Nr5a2,NSUN2,
,Btbd17,FAH,
,Sox9,BMF,
,Trim65,OVOL3,
,Vgll4,MTHFD1L,
,Gadd45a,ELF1,
,Frmd3,CRYBG1,
,Rtn4r,FBXO22,
,Dcc,STEAP1,
,Slc4a8,NDC1,
,Nos2,NADK,
,Cdh5,SERPINB6,
,Bmper,NOP2,
,Astn2,PEDS1,
,Fyn,KAT2A,
,Tulp1,DDX47,
,Gse1,PFKFB3,
,Atp2b4,MOCS3,
,Gnao1,CLDN14,
,Sla,FAM83H,
,Plcxd3,PUS7,
,Akt3,KIF13A,
,Notch1,ADAM15,
,Zbtb18,ZW10,
,Eln,MEMO1,
,Kctd7,NOC2L,
,Slc38a8,SLC25A37,
,Kcnh5,TRPS1,
,Ephb4,NAT10,
,Usp9x,XKRX,
,Smpd3,PTRH2,
,Cyp1b1,SLC4A2,
,Cerkl,PLEKHO2,
,Amotl2,ENO1,
,Tecpr1,YDJC,
,Wipf3,ATXN1,
,Phf21b,F2RL1,
,Tspan5,FAT1,
,Arpp21,NXT2,
,Fam129a,ATIC,
,Kremen1,SNX5,
,Rgs16,LDHA,
,Neurod4,PFDN4,
,Cacna2d2,GNL3,
,Crocc,,
,E2f7,,
,Cited1,,
,Nrsn1,,
,Runx1t1,,
,Cyyr1,,
,Sh3kbp1,,
,Dst,,
,Insm1,,
,Ubash3b,,
,Evx1,,
,Rhbdf2,,
,Alk,,
,Srrm4,,
,Hlx,,
,Ascc2,,
,Tgfb3,,
,Sez6,,
,Stra6,,
,Chst8,,
,Rgs7,,
,Phyhipl,,
,Zhx2,,
,Tshz3,,
,Tle4,,
,Sez6l,,
,Fbxo7,,
,Stxbp5l,,
,Kcnj6,,
,Prex1,,
,Cox4i2,,
,Cux2,,
,Gsg1,,
,Irf8,,
,Tacr2,,
,Cntn2,,
,Rnf112,,
,Mfap4,,
,Asap3,,
,Col4a6,,
,Nkd1,,
,Wnk2,,
,Glce,,
,Scara3,,
,Pknox2,,
,Mcf2l,,
,Slc24a2,,
,Etv5,,
,Phox2b,,
,Lyst,,
,Tspan9,,
,Ephb2,,
,Ctnna1,,
,Cd5,,
,Efnb1,,
,Lrfn5,,
,Cdh23,,
,Atoh8,,
,Grm2,,
,Chn2,,
,Alox5ap,,
,C1ql2,,
,Wscd1,,
,Pde6h,,
,Baiap2,,
,Coro2b,,
,Gas7,,
,Cdk5r2,,
,Dusp26,,
,Ntn1,,
,Gfra1,,
,Otx2,,
,Spink4,,
,Spns3,,
,Olfm1,,
,Kcnab3,,
,Zic3,,
,Rbp3,,
,Adamtsl2,,
,Nlrc5,,
,Id4,,
,Nptx2,,
,Gpr88,,
,Rgs20,,
,Faim2,,
,Chrnb4,,
,Ass1,,
,Lmo2,,
,Kcnb1,,
,Ptprt,,
,Upp1,,
,Sp5,,
,Aipl1,,
,Doc2b,,
,Igf2bp2,,
,Galnt14,,
,Arhgap36,,
,Drd2,,
,Nxph3,,
,Npy,,
,Cacna2d4,,
,B3gat2,,
,Slc24a5,,
