,mTead_p63_down_genes,mTead_p63_up_genes,mYapTaz_KO_down_genes,mYapTaz_KO_up_genes,mYapTaz_Wang_genes
118,,Tubb4b,Ston1,F5,
119,Bbc3,Klf6,Emx2,Cited1,
120,Plekha4,,Cysltr1,Vsig1,
121,Zfy2,,Vwa1,Slc28a3,
122,Zfy1,Proser2,Htr1b,Kctd12,
123,Acss1,Nmt2,Wnt4,Cadps2,
124,Foxred2,,Atf5,Hif3a,
125,Ifnlr1,Unc5b,Phldb2,Wfdc13,
126,Arid5a,Plau,Col12a1,Cyp4f15,
127,Cd38,,Hlf,Pllp,
128,Samd9l,Kcnma1,Zc4h2,Arhgef38,
129,Parp12,Cep55,Ppp2r2c,Fam20a,
130,Borcs7,Scd2,Ntf3,Dpp6,
131,Lgr4,Scd4,Kifc3,Wfdc1,
132,Hcar2,,Slc25a48,Adh7,
133,Fry,Itprip,Lhfpl1,Lpar3,
134,,Hras,Ifi44,Tspan2,
135,Cadm4,Cd44,Slc22a4,Klf12,
136,Vstm2l,Fjx1,Asns,Bok,
137,,Ahnak,Ptpn14,Steap1,
138,,Rps6ka4,Lhfp,Pde3b,
139,,Ano1,Tmie,Galnt4,
140,,Shank2,Fam126a,Tmem22,
141,,Amotl1,Sulf2,Gm5454,
142,,Fez1,Ptpn22,Myb,
143,,Glb1l3,Pdpn,Ces1e,
144,,Erc1,Cdh13,Tmprss11bnl,
145,,Tead4,Kitl,Gm20559,
146,,Mfap5,Hist1h2ab,Cybb,
147,,Rapgef3,Wwc1,1600029D21Rik,
148,,Slc48a1,Gfra1,1810011O10Rik,
149,,Krt6b,Trib3,Mir429,
150,,Krt6a,Mpp1,Ube2v1,
151,,Gm5414,Dpp4,5330417C22Rik,
152,,Krt5,Tspan33,St8sia6,
153,,Gm5478,Fstl3,LOC100862340,
154,,Nemp1,Tnfaip2,Adrbk2,
155,,Dusp6,Glt8d2,Mir704,
156,,Tmcc3,Rasl11b,Glb1l2,
157,,Elk3,Phospho1,P2rx7,
158,,Chst11,Cgnl1,Plac8,
159,,Wdr66,Rassf5,Pla2g7,
160,,Mphosph9,Irak1bp1,Dnahc12,
161,,Gm49336,Syt8,Tmem211,
162,,Wdfy2,Rhod,Cyp4f40,
163,,Thsd1,Serpinb2,LOC100861853,
164,,Kctd12,Yap1,Slc37a1,
165,,Gas6,Cdc42ep1,Hivep3,
166,,,Slc7a8,P2rx4,
167,,Prmt5,Adamtsl4,Cldn10,
168,,Ajuba,Cnn3,Sftpa1,
169,,Tinf2,Bnc1,1810019D21Rik,
170,,Tgm1,Pcbd1,Rnf183,
171,,Plekhg3,Slc40a1,Dhrs9,
172,,Actn1,Pard6g,Clcn2,
173,,Map3k9,Cd109,Rap1gap2,
174,,,Gpr114,Cib3,
175,,Ltbp2,Prss35,4933439C10Rik,
176,,Ppp4r4,Flrt2,Gna14,
177,,Klc1,Flrt3,1110017F19Rik,
178,,Arhgap11a,P4ha3,Slc16a6,
179,,Mapkbp1,Gm14005,Ahcyl2,
180,,Ttbk2,Card10,Ccr2,
181,,Myo5a,Psrc1,Usp17l5,
182,,Myo1e,Ces2f,Neurl3,
183,,Myo9a,Frmd6,Dll4,
184,,Bnc1,Fgf1,Neat1,
185,,Prss22,E2f8,Tmprss6,
186,,Flywch1,H60c,Mir23b,
187,,Tmc7,Stbd1,Slc9a4,
188,,Usp31,Kirrel,Mir224,
189,,Cdh13,Palm2,Calml3,
190,,Osgin1,4632434I11Rik,Xist,
191,,Nxn,Gpc6,D930048N14Rik,
192,,Eno3,Cav1,Ly6g6c,
193,,Plscr3,Ccnd1,Shank1,
194,,,Muc2,Map3k13,
195,,,Osr1,Etv1,
196,,Krt14,Gm410,Grhl3,
197,,Krt16,Axl,Foxi1,
198,,Krt17,LOC100862384,Lgr6,
199,,Cavin1,Lox,Cd38,
200,,Itga3,Plaur,9130230L23Rik,
201,,Ern1,Murc,Aldh1a1,
202,,Sdk2,Scara3,Rsc1a1,
203,,Itgb4,Cdkn2a,Padi1,
204,,Unc13d,Bmp3,Gm19557,
205,,Trim47,Nuak2,Il18rap,
206,,St6galnac2,Mpeg1,Slitrk6,
207,,Socs3,Arhgef26,Mir27b,
208,,Tubb6,Col18a1,Gm19269,
209,,Npc1,LOC100502896,Asb11,
210,,Lama3,Dzip1l,Ypel4,
211,,Dsc3,Shroom4,Sult1b1,
212,,Dsc2,Bmp7,Tspan1,
213,,Bcl2,Mb21d2,P2rx6,
214,,Serpinb5,Arhgap8,Wfdc18,
215,,Serpinb2,Npnt,Gm4951,
216,,Kctd15,2010300F17Rik,Serpina9,
217,,,1110051M20Rik,Gramd1b,
218,,Cd3eap,Ehd2,Ptgr1,
219,,Snrnp70,Olfr1372-ps1,Slc16a7,
220,,Klk5,Myo7a,A330023F24Rik,
221,,,Paqr7,Creb3l1,
222,,Jag1,Hp,Mak,
223,,Thbd,Igfbp7,Slurp1,
224,,Pygb,Ccdc102a,Scgb3a1,
225,,Tpx2,Mpdz,Pdia5,
226,,Arhgap40,Ntn1,Liph,
227,,Tomm34,Aldh1l2,Slc25a35,
228,,,Dll1,Kndc1,
229,,Smtn,Aass,Foxa2,
230,,Pisd,Cercam,Enpp3,
231,,Lgals1,Ociad2,Ccl5,
232,,Micall1,Sox9,Gm19703,
233,,,Crlf1,D10Bwg1379e,
234,,Flna,Rhobtb3,Hist3h2a,
235,,Aunip,BC067074,Mir141,
236,,Impdh2,Cdh17,Mfsd4,
237,,Ier3,Fzd2,Mir5125,
238,,Pim1,Zfp385a,Gpt,
239,,Slc39a14,Slc25a30,Cadm2,
240,,Ldlrad3,Cyp21a1,BC021614,
241,,Slc3a2,Serpina3g,Mir200c,
242,,,Gm13056,Pfkfb4,
243,,Cdca5,Fam46b,Ascl3,
244,,Fosl1,Eif4ebp1,Sobp,
245,,Foxm1,Spns2,Fcgbp,
246,,Krt78,Ugt1a6b,Sdcbp2,
247,,Ttc7b,LOC100861649,Padi4,
248,,Alox8,Pitpnm3,Megf11,
249,,Nr1d1,Specc1,Cyp2r1,
