SCLC-A,SCLC-A2,SCLC-N,SCLC-P,SCLC-Y
AUTS2,TMEM159,TMEM158,PACSIN3,PLCB3
SMG9,PANX2,RHOB,ANAPC15,JOSD2
CENPH,KLHDC7A,SEZ6,FANCD2,BOK
ACTL6B,RRAGC,AFMID,SLC19A1,ALDH7A1
USP1,ACE,TNNT2,ACAT1,GALNT10
STMN1,SOX13,NTRK1,LLGL2,ERRFI1
RBM4B,LDLRAD4,SLC9A3R1,CRISPLD1,RB1
BAZ2B,PRPH2,OXA1L,B3GALNT2,LCAT
DNAH10OS,KCNJ6,CLEC11A,FCGRT,DGKA
PHF6,EPHB1,FAM155B,ECI2,SUMF1
SGCB,NAV2,HBA2,ARID3A,NTF4
R3HCC1,NUP210,NOTCH1,SMAGP,SRPX
ACYP1,MUC1,FHOD3,BHLHE41,VSIG10L
LCMT2,SLC12A7,ANKDD1A,OR2W3,CRLF1
HIST1H2AM,EFCAB14,PTGFRN,CHST6,MAN2A1
PLEKHM3,ECHDC2,OPRL1,KIAA1522,NPHP3
SLC35A5,NOD1,CCDC85B,ATF7IP2,PHLDA3
TAF9B,TEX101,SHOX2,TLN2,RIPK2
KCNRG,MBIP,BMP1,PAAF1,TMCO4
PHIP,CORO2A,XRCC3,ANLN,FAS
ACAP2,RYR2,CELF3,HAPLN3,ADAP1
SNRNP25,SYT17,SCN3B,CD70,FUCA2
ZFP1,EXO5,ARL10,SFT2D1,JDP2
LYPD6,RIMKLA,FCHO1,FMO4,BCAS4
E2F2,SLC7A11,MAGI1,SEMA3G,EDN1
MARVELD2,HYLS1,PORCN,AIG1,HOXC6
ZSCAN5A,WLS,ZHX2,CCDC102A,CD58
SHROOM3,TRIM56,FDXR,PLSCR1,IQSEC2
ZNF669,IRF9,PFKM,P2RY8,PON2
FNBP1L,ASCL1,TMOD1,ESRRA,SQSTM1
KIAA1841,POMGNT1,SSTR3,EIF5A,HERC6
ATG10,KLK14,LTBP4,ADAT2,PPP1R13L
UBE2E3,CCDC24,RHBDF2,TP53I3,CT45A6
VBP1,HOXB3,KIAA1549L,NRG4,L3HYPDH
KSR2,FRMPD2,DLG4,EML3,RPS6KA4
SPTBN2,UNC93B1,HBA1,DNPH1,FBXO6
ICA1L,ABCA12,MGAT5,SOX13,LUZP1
MARCKSL1,TLR4,ST3GAL2,ALDH2,VASN
FMR1,PRMT8,TMEFF2,IDE,CIB1
N4BP2,TJP3,EPHA5,XK,TGFBI
CDK19,SMIM10,DCAF4,PLTP,SERPINE1
CERS6,ACPP,TTLL12,SNX33,CCDC85B
RAP1B,SLC1A5,CKMT1B,ACTN1,GFPT2
HTATSF1,FRMD4B,CCNB1IP1,GNAI1,FLII
ANKRD36C,GSN,MRPS27,TBC1D2B,HOXB13
UBE2A,CCDC159,PLCL2,SEC14L2,NEDD4
TEAD1,CNTD2,FRMPD3,CLUH,ADA
CENPV,MUC12,MAP1A,SSH3,IFI27L2
MCF2L2,LRRFIP1,SLC25A6,CCNB3,CROT
RFC4,MPP1,CDH18,KRT17,BHLHE40
ZNF738,BRI3BP,CERS1,TSPAN33,MT2A
ZNF776,ELMO3,MAST3,CREG1,GSTK1
HAUS1,TRIM21,GDNF,CHPT1,SUSD5
ZNF559,PROX1,TSPO,MTHFD1L,ANGPTL4
POPDC2,TNS1,TMTC2,METTL7B,GRN
HIRIP3,EFCC1,SIX6,RBBP8NL,CT45A3
GNG4,ABCG1,KIF6,TCF15,SLC4A2
DNMT3A,KCNK3,CEP128,OXR1,LAMA1
HIST2H2AC,MTSS1,COMT,PLD6,MAT2B
CDKN2AIP,CAPS,NEIL2,LAMA2,CRAT
GABPB1,PEX5L,RIIAD1,MRGBP,SHISA5
RPGRIP1L,FRY,MRPL4,SLC35F2,ETHE1
LANCL2,SLC22A23,ABCC4,DCPS,EIF2AK4
KLHL23,USP20,IL12A,RNF2,TRADD
MYB,FANK1,HOXA11,CNNM4,MOCOS
SKA2,KRT8,BAIAP2,LPAR3,SDC4
F8A2,CPD,ADAM19,HOXA2,PAPLN
PHF10,PRSS22,RAP1GAP2,ISOC1,FGFR1
DLG3,CD99L2,FGFR4,VCL,FZD2
ASRGL1,TMEM9B,KCNK6,GCAT,C1RL
SLC44A1,RHOU,TWIST2,ANP32E,MSN
ZNF532,FABP5,ST3GAL5,SPRY2,THSD4
BMPR2,SCP2,HDDC2,TKT,TRIM21
FUZ,TAPBPL,TRMT61A,BCL2,IL6ST
PARP16,WNT16,PCCB,PLRG1,H6PD
TRIM69,NR4A2,GAMT,SLC40A1,RRBP1
DIP2C,CASZ1,PRKCE,TJP1,TAGLN
SLC25A14,NCEH1,RABEPK,ZC3H12A,FKBP14
TMEM237,GLS2,DHRS2,POLD4,ARHGAP10
ELOVL2,BTG1,CRHR1,ICAM3,MTMR11
MNX1,GMPR,DUSP14,CDC73,LIF
MROH8,GABARAPL1,CLUH,DGKA,SAMD4A
CEP170,HIP1R,SLC7A6,PARP4,DPY19L1
AP3B2,HYI,LBX1,BZW2,BCAP29
STK33,GCA,SCARB1,PCBD1,TNFAIP3
SULT4A1,SLC2A9,WDR3,EXOSC4,PLEKHO2
ZNF675,AKR7A3,LGALS7B,LZTS2,SPSB1
MAGOHB,IL15,PFAS,RREB1,CASC10
PPM1D,PPARA,LRP8,MYCN,PGAM1
ZNF304,GRIN1,SVOP,IPCEF1,SCARF2
ARL6IP1,RPS6KA1,CRLF1,KLHL17,B3GNTL1
ZNF554,LGALS8,VASH2,FXN,CFD
ZC3H12C,ADI1,RAB26,SCARF2,MAP7D3
RUFY3,TRAF3IP2,PRMT5,UNC93B1,CXCL16
IPP,HPS3,NOVA2,INPP5B,SLC22A18
ZNF484,BCR,B3GALT2,HDAC7,IGFBP7
POLA1,DPP10,TRIM9,ZNF391,CARD10
PDCL,SPAG1,KLF9,PGAP2,CAST
HSF2,CAMK2D,NEO1,SORD,GLIPR2
PITHD1,GPR6,FEZ2,USP28,APOBEC3D
AGO4,PPP1R3E,XKR7,FHL3,SNX21
PRPF3,KCNB2,KCNA3,PTGS2,TLN2
MYNN,MYO15A,CBFA2T3,RGS19,MYL12B
STXBP5L,NPTN,MXI1,SLC29A2,PRICKLE1
USP11,SMCO4,SYT2,RPS25,ERLIN1
TMEM222,KCNH7,STRADB,IKZF5,HEXIM1
H1FX,CD46,GNAO1,VEGFC,PTGES
SNX15,PLXND1,FERMT2,TRIM16,DOCK6
YOD1,ING1,CHCHD10,OAT,FYCO1
PKIG,DGCR6,BOP1,OR2A7,SOAT1
ZNF461,GSDMA,FAM98A,PRKAA2,ID3
ATRX,GBE1,ANKH,SPTBN1,OPLAH
ZNF737,CCDC33,DACT3,CCDC115,PFKFB3
RNF168,MAFF,STXBP1,GSTO1,ACAP1
ZNF417,CD164,DZIP1,SFXN2,SFT2D1
CDCA4,IFIH1,SKP2,NDC1,TLCD2
FAM111B,CD59,FSD1,LDHB,IFI6
ZNF266,FAM129B,MPP3,LYPD3,PQLC3
MIA,UBA7,FLT4,SH3BP1,MYRF
ING3,CDON,KCNA2,PDIA4,KLF2
TIFA,ICA1,HES4,MRPL45,OSTM1
KIDINS220,CBFA2T2,CHRFAM7A,FUOM,AVPI1
EPM2A,KLF11,NCS1,MAP7,LACTB
ZNF747,FOXC1,SLCO4A1,CAV1,FOXC1
ASPM,ELF1,FAM118A,CNTNAP3,RSU1
TCEAL3,INPP5B,LRP5L,HIPK3,CHST15
CCDC92,ARHGEF37,MAP4K4,MYZAP,CPT1A
HIST1H3A,AKIRIN1,HCN1,TOR3A,SASH1
ZNF273,APOL3,SCARF2,MBNL1,NAGPA
NCOA5,AIFM2,SRGAP3,CLIC5,GM2A
UNC119B,MX1,CHCHD6,SH3YL1,GHR
ZNF367,TMEM53,NDST3,RAB13,RGS19
RCN2,IGF2R,NKD1,CUL5,LTBP4
MED17,GRAMD1C,SPNS3,DDX10,LASP1
PCGF3,ELOVL1,KCNS2,C1QBP,TGFB1I1
PANX1,GREB1,SRRM4,BAZ1A,RAB13
ZNF586,43893,VRK1,TRAM2,CNTNAP1
NUSAP1,DENND1C,BCAS4,SETMAR,TMSB10
CYP20A1,ACOT11,KLHL25,ALKBH8,CTSO
TTC13,DAPK2,CHAC2,PRKCD,ACCS
ARIH1,CAP1,JUN,BLM,GSTO1
QSER1,COMTD1,TRMT1,ZMIZ1,ITGB1
SENP5,OVOL1,KCNN1,VAMP5,ICAM3
SMURF2,IFFO1,PRKX,MARVELD3,IL1R1
PET100,TRIM9,SORD,MROH6,STX4
ATP2C1,SLFN12,ZNF581,TSKU,COLGALT1
VOPP1,ATP6V0B,MRPS2,NPM3,LPCAT2
BRIP1,EFR3B,PAG1,EIF3M,TMED9
FBXO45,TNFSF15,CHD5,CSK,PPARD
SAMHD1,HOXD1,SLC2A5,GJC3,PIK3CD
ZNF672,PPP1R3D,EPHB2,CDRT4,ARHGAP31
WEE1,PLEKHG6,EML1,RPUSD3,ACSS2
ATG4D,DTX3L,EHD2,TALDO1,TRIM14
ZNF100,RHPN2,RAB11FIP4,HDLBP,MAMLD1
UBE3A,BCL2,FASN,CHORDC1,PDIA4
KLHL25,CCDC40,MAP6D1,SMOX,MICALL1
DEPDC1B,XBP1,TKT,EFTUD2,TRAM2
APBB1,LRRIQ3,GNB3,USP25,SEMA3F
CEP76,DMAP1,GRIN2D,AGPS,CEBPB
GLOD5,BSPRY,PTGIS,RGPD2,SERTAD3
NVL,CBX7,ARRB2,RHOV,PBXIP1
ZNF264,PAX9,CNTNAP1,SUMF1,CLIP1
FER,LACTB2,IMPDH1,ITGAV,SLC25A24
IPO9,METTL7A,ECHDC3,ARHGAP8,HGF
NCAPD3,RPS6KA3,RASGRF1,QARS,SLC27A1
CYFIP2,ABCA5,PTPRK,MFSD10,GATA4
GDPD3,SH3YL1,RND3,OTX1,IQGAP1
UPF3A,PRB3,PNP,FCHSD2,OPTN
PSMC3IP,PELI2,HLA-DMB,MSR1,IL13RA1
KATNBL1,MAP3K5,MTFP1,MGMT,RGS20
GNAQ,CD6,TLN2,RAB27B,SDC1
ZNF543,ITPR3,NPTXR,ELOVL3,RAB43
AVP,SLC44A2,EIF4E1B,ATF7IP,CTSV
ZNF557,VSIG10,ZSCAN2,ARL5A,PLEKHN1
RTTN,SYDE2,SCNN1B,ADAM15,IL17RC
LRP3,PTPN3,UNC13A,JAK1,SIPA1
TMCO3,CEACAM7,SORL1,PURA,EHD3
ZFX,BARX2,ACOT2,SUPT3H,MID1
HIST1H2AB,CYP4V2,EIF2B3,PRPF6,BCAR3
MANBAL,KAZALD1,PUS7,TTLL4,ATL3
AGPAT5,SLC45A4,COX4I2,FAM171A1,MAP4
SRSF3,GMDS,SACS,COMMD8,MAPKAPK3
STX2,LZTFL1,WDR18,AQP1,SPRED1
PRDX2,CASP7,ARRB1,ATAD3A,ACY1
KLF13,GCLC,FMNL2,PLEKHA7,NINJ1
ZNF548,GSAP,FKBP7,OSGIN1,NBPF14
WDR53,ARRDC1,GDF1,ERBB2,NPM1
PHACTR4,RNASEL,CCT5,DCP2,TWF2
KIF3A,CTSD,ZNF385D,ISL2,CASP7
ARL6IP6,HSD3B7,PSMB5,PCTP,FKBP9
ZBTB6,CCDC110,RNF126,PLCH1,PPM1M
EZH2,USP27X,IMP4,CHD1L,BTN2A2
KLHL7,PCED1B,SLC16A9,SQLE,CCPG1
RBBP8,ZNF396,RPL12,METAP1,TRIOBP
TMEM81,SIGLEC15,HTR6,MRPS35,GNB4
INTS7,VAV2,QRFPR,CAMTA2,RND3
UBTD2,IFIT3,CELSR2,TCF7,ITPRIP
TP53BP2,ARRDC2,INF2,TMEM102,EDEM1
HMGN2,STS,CLCN5,GSTK1,RNF213
NRROS,CD74,KPTN,PHKB,P4HA2
CEP19,KIF26B,SNX18,HIP1R,QSOX1
FEM1B,YPEL3,GPR68,ATL2,MICALL2
ATXN7L2,CDKN2D,GLIS1,EIF2AK4,EFR3A
SMC4,CYP4F11,RPLP1,CCDC43,CTNNA1
IFT46,IGFL4,ANKS1B,DHCR7,IMPDH2
ZNF10,FMN1,WNT3,PEAK1,ZNFX1
NRF1,INPP1,PALM2,EIF3B,PCTP
CSRNP2,PARP9,PDLIM1,SLC27A2,IRF9
GTF2A2,IL17RB,LZTS1,OGFRL1,ERAP1
MAEL,TMEM187,BAZ1A,LPIN3,ERF
CAMSAP1,TPD52,PTPRS,CAPN3,PTPRE
ACTL6A,ALDH5A1,KALRN,PLA2G12A,MOB3C
ZNF510,SLC26A6,DDX1,MTFP1,MRAS
THAP5,AMPD3,PRTFDC1,RILP,IDUA
DNAJC18,AFAP1L2,FJX1,XYLB,FAHD2B
TRIM24,CUEDC1,ARHGEF17,PLEKHO2,TK2
SORT1,NFYC,FGGY,TTLL12,RIN1
RANBP9,BTG2,DPH5,TMEM126B,RAB11FIP5
PNPLA8,TMEM127,FAM207A,TONSL,CUL7
ZNF426,MAFK,RPS2,GEMIN4,FOXF2
TRNAU1AP,ITGB6,RASSF2,PSTK,PLA2G15
CREB3L4,ROPN1B,SOWAHC,IARS2,GJA3
BAZ1B,ZFP69,KRT5,WDR3,WFS1
ZFP3,KIAA1257,C1QBP,HMGA2,RILPL1
ZNRF2,LY6G5C,NME1,DCUN1D5,ELOVL1
RRM1,ZP1,MPI,NIPAL1,IFIT3
ZKSCAN2,CISD3,FAM78A,TET3,KIF7
KLC2,ZNF706,HIST2H2AC,B3GNT2,WDR1
PTPRR,EFHD2,TUBB6,CYFIP1,NME4
SKA1,PTK2B,STX1A,PPM1K,ZFP36
KCNAB1,ZNF488,THSD1,AMN,EML3
ASTE1,FAM174B,RASL11A,SLC12A2,RNF217
NUDT16L1,B3GALT4,VWA8,MPHOSPH8,PHF11
TMEM116,PLA2G4C,ALDH3A2,LYPLA1,WNT10B
BCAP31,INSIG1,SOX12,SRCIN1,SH3BGRL3
ZCCHC17,ARL15,MGP,ACO1,RXRA
BCL2L1,LEPROT,PIK3R2,DGKQ,SLC35F2
MSL2,HOOK1,MYH10,FOXK1,SLC39A1
VGLL3,QSOX1,HMG20A,TMEM123,GPR176
PRKACA,FOXA1,RPL4,TMEM150A,NRBP1
UBE2T,PTP4A3,RWDD2B,RABGAP1L,STK10
UBR7,UGCG,MZT2A,EXT1,B2M
TMEM242,KCNH8,DYNC1H1,CHSY3,SNX7
FAM98B,SORL1,HK1,LRRN2,MAML2
PMCH,EVPL,MAMSTR,DNMBP,FAM214B
WDR76,CNTNAP3,SLC35E4,NAT10,RETSAT
SFT2D2,SRD5A1,GTPBP3,ABCE1,OLFML2A
THAP10,USP18,TTC5,GAL3ST4,SORBS3
ZCCHC3,PPM1H,TTC28,SWT1,TRIM56
MEX3B,SMC2,ANP32A,ZNF710,JAG1
NABP2,MPC1,IKBIP,IGDCC4,TSHZ3
TSPAN3,JAG1,NOC2L,SSPN,COL3A1
RYBP,BCL2L11,KCNQ4,THOC7,TGM2
DDX6,BCL6B,CXXC5,NPHP3,VAMP3
ZNF664,TCF24,NCOR2,GALNT4,ADAMTS1
ZNF808,MANEAL,CMTM5,CISD3,RPL26L1
HP1BP3,ANO7,CALM1,WDR11,HDAC7
PTF1A,FAM111A,ATP11C,LENG9,FERMT2
ZNF678,HPSE,AUTS2,KRT18,PRCP
DLGAP2,ARHGEF7,RIPPLY2,ORMDL1,FBLN2
MTA2,RND1,HCAR3,DMRT3,GYG1
ZNF493,PXN,MRPL52,CCDC117,CHPT1
POGK,TMEM8A,TICRR,ADH5,SYNM
ZNF71,TRIM72,TRIM65,CX3CL1,NBPF15
TCF20,HIVEP3,FAM216A,ZNF485,XYLT2
EXO1,CNOT6L,ZNF219,ZNF695,ETFB
TTI2,NUCB2,EIF2AK4,KBTBD7,CD109
MSANTD3,SCUBE2,NHEJ1,FAM20A,LZTS2
SYNJ1,TPCN1,RASA4,GPR89A,UBA7
CSNK1E,IKZF3,KDELC1,EDEM3,PDP1
ZNF736,SYCE2,CCDC136,RPUSD4,MOV10
CEP97,WNT9A,GATA2,CCDC47,TPM3
RNASEH2A,ABTB2,MAPK8IP2,RIPK4,B4GALT1
MCPH1,IL17REL,CACNA1B,AMD1,LIMS1
PRDM15,OSTF1,SARM1,DPY19L1,ENOSF1
CASP2,PTBP3,COL13A1,CCDC51,IQGAP2
TTLL10,PIAS3,CHGB,CDAN1,ABHD15
DNASE1L1,FHAD1,BDKRB1,EIF3J,MGMT
ZNF770,MAPK13,F12,SLC25A1,PTPN21
HMGB2,OR13A1,MYCBP2,PHLDB3,MSRA
ST7L,SMC1B,PODN,SH3RF1,SLC2A6
ZNF782,TMEM165,BLVRA,ENPP5,JUNB
SENP7,IRF2,PLXDC1,CGN,ANXA11
ZSWIM4,DNASE2,YDJC,ZNF577,THEMIS2
ZNF420,ODF2L,UNC119,IDH1,MBNL1
ZNF551,STK40,RPL18A,ADSS,FHOD1
ZSWIM3,ICAM1,ACAT1,MAP2K5,PLBD2
DTYMK,LPXN,NOG,TMC6,TAPBP
ZNF460,SLC16A12,WASF1,TMEM126A,AP3B1
PDIK1L,SOCS1,PQBP1,SLC2A4,LDHB
ZYG11B,DUSP10,PHKA1,MICU2,HSPG2
EFCAB2,MMP15,LDHB,RPS12,ARHGAP27
DYRK3,LITAF,GAA,FKBP5,PDCD6IP
DOLPP1,CYP4F12,TOP1MT,VTCN1,CABYR
MAP4K4,TMEM205,LAPTM5,GLB1,APLP2
PBRM1,KCNG3,OLFML2A,CDC42EP2,CGB7
GGPS1,VWC2L,VARS,SMIM1,FUT11
STIL,SFTPB,44077,ZNF106,NMB
MYEF2,TMEM80,RPL13,ZNF28,CTSD
ZNF140,AGMAT,SLC26A4,POLR1B,AMDHD1
PAFAH1B2,FAM167B,THOC3,INTS4,FADS3
SAMD1,TTC12,TBRG4,TTC38,SMAGP
RCC2,LHPP,PLXNB3,ERCC2,AIFM2
NPIPA3,VPS37C,PPAN,PDHX,FAM160B2
ZNF629,ZSWIM5,DBI,EXOSC7,CALU
H2AFX,ZNF487,PPM1F,TRPM5,ANXA5
MIS12,SHROOM3,GPLD1,ERP27,PRX
CRIPT,SHROOM1,OSBP2,NFS1,NPAS1
DCTN4,VMAC,EEF2K,ATL3,TIMP3
RBBP5,NT5DC3,LDLRAD3,GAS1,MGAT1
NGRN,GPBP1L1,EBPL,RPL19,DOCK5
ZBED4,SEMA4B,HMGA1,PARD6B,NUDT8
PDCD7,CEBPD,RDH5,ZFP36L2,PPM1J
GINS1,UBE2E1,ASAP1,SNX5,TNRC18
ZNF211,GRB7,TANC1,CALU,DUSP3
FAM129C,KCNC4,AKR1B1,FOLH1,MSH5
CTCF,SEPHS2,ATAD3B,MBTD1,FAM98A
ZSCAN16,SLC26A5,TBL3,MN1,PFN1
ZBTB18,PDLIM5,MACROD1,GALK1,MRPL41
IKZF4,MAP7,AMPD2,SCML2,CLDN23
OSBPL8,TTLL10,ARSF,KBTBD6,ANXA6
WEE2,UBE2L6,MICALL1,IMPDH2,CAPN2
SLC25A53,TNKS1BP1,TEF,CEP135,IGF1R
USP33,THBD,OTUD7A,POMP,FHL2
MCM5,TDRD7,MAP4K5,HIBCH,43892
STARD6,B4GALT6,SLC39A11,CD46,ASL
PAK2,RGS12,TRIM16L,FTCDNL1,MAP3K12
TSGA10,PDSS2,FANCF,B4GALT5,DECR2
ZNF24,BCL2L2,VPS37D,PTCD1,ALDH3B1
UHRF1BP1L,IRX3,SSBP3,ZNF563,SWAP70
TIA1,MICALL2,44083,IPO7,AMPD2
MAP3K11,DRC1,AVPR2,MAP4K5,FBXL8
DESI2,VWA7,BLMH,ELAC2,TRIM6
THYN1,PIGV,ACLY,RNPEP,AGPAT2
ZBTB39,CBX6,TRAF3,SCO1,LHFPL2
CDCA5,DDX60,KLHL26,PIGS,SLC26A2
FBXO21,LRRCC1,ZNF343,DTWD1,KLF6
FBXO5,ECE1,ACAP3,OSTF1,ST3GAL2
TCEAL6,ZNF684,MAST1,BTG1,TBXA2R
PYGO2,STX3,PRKAA2,TP53I13,MITF
MBD3,VANGL1,ASCC2,RAB4A,ITGA2
FAM50A,KIAA1671,ZRANB3,CDC42EP4,PPP1R18
PRC1,SCARB2,S100A5,ALDH18A1,IGF2BP3
SOS2,REV3L,CCDC85C,HS3ST3A1,SHCBP1
TMPRSS15,MLXIP,AMER1,ANO6,PPIB
SH2D7,CPEB3,GNB1L,ICK,NFAT5
CDC42SE2,TMPRSS2,FAM181B,AADAT,SIL1
HCFC1,PDCD6,SLC16A10,TARBP1,TLN1
MANEA,ATP7B,POLRMT,ST13,SGSH
RAB41,SNX25,EIF3L,PUS7,SEMA4B
EMD,USP40,DUSP7,ASAH1,ADTRP
HNRNPA0,TMEM87B,NOP16,NCL,TFE3
UBXN7,TXK,CDR2L,ASB13,TBC1D9B
KANSL1L,TTC6,GINS3,CLCN2,APOBEC3F
ZBTB14,CHMP4B,FGD4,PILRB,PRR7
SENP1,EMC10,DTD2,PDE3B,GBF1
ARID1A,TM9SF1,IRS1,DHX33,RUNX3
ZNF646,RABEP2,TMEM97,BMPR1B,OAS3
ARNTL2,UBXN11,CRTC3,MTMR2,PDLIM5
ERCC4,DNASE1L2,IMPDH2,UCHL3,ZC3H12A
UNG,COMMD7,SYP,NSMCE2,TMEM156
SRCAP,NFKBIZ,POLR3D,RCBTB1,PXDC1
MCM2,TMBIM6,RFPL2,CDC40,CCDC9
ZNF79,IQCD,UNC79,TSNAX,IKBKE
ZNF77,NOXA1,DDX24,MANBA,TSPAN4
TMEM39B,IMPA1,MAP3K15,KRT10,TRIM47
ABHD17B,PHF19,FAM133A,RHBDF1,BDNF
INO80D,LIPH,GALK1,CBWD1,AKAP12
CTTNBP2NL,SPINT2,EXOSC4,DHRS11,KAZALD1
WWOX,TMEM38B,CKMT1A,UFL1,SPR
PHF20L1,LAMP1,CMSS1,PFN1,SLC31A2
CLSPN,TMEM141,WNT10B,NOP14,CT45A1
ARL8A,PURB,DGCR6,CD2AP,HEBP1
ZNF473,LRBA,RXRA,TPR,PILRB
AP4E1,IFIT2,LRRC28,SLC37A4,TWSG1
USP30,P4HTM,RPS15,VASN,PRDX1
PRPF4,FRAT2,EEF2,FTCD,EBI3
TBCCD1,LENG9,ABHD15,FOXN3,PBX2
RFC5,SZT2,EIF3C,ANKRD28,DENND2C
AAGAB,WSB2,ZNF598,PMS1,EEF1D
ZNF84,EIF4E3,KIAA0513,PKN2,MERTK
RC3H2,METTL11B,PRDM6,CTTN,TP53I13
ZDHHC13,MARVELD2,MXRA7,DUSP14,SERTAD2
HNRNPUL2,TMBIM4,SLC9B2,DPH6,WDR41
PPP2CB,RPGRIP1,SLC30A3,PPM1M,SOX18
UCK1,ARL4A,NSMF,SLC35D1,PLOD3
FAM227B,TMEM59,CAD,MFSD3,TPM1
NUDT21,CCDC88C,ZNF280C,PSME4,SLC46A3
TET2,HSDL2,ZNF695,MAP4K2,LIX1L
ZBTB1,RDH14,RSL1D1,UGT3A2,ACAA1
FBXL13,ERI3,MTHFD1,TLR2,LPP
ZNF497,ALX4,COPS2,ACAA1,GALNS
ZBTB3,CCDC103,NOP2,GLRX2,CTBS
TNRC6B,HIPK3,ACOT7,SSBP1,RNH1
FOXD4,C1GALT1C1,TMEM151A,RCC1,B4GALT7
PPFIA1,MTF1,EIF2S1,SKP2,ZNF391
ZNF616,OTUD1,RCL1,EIF3A,HERC4
PPP1R8,TTC32,PWP2,CTNND1,CHST14
FANCA,CHIC2,DOK5,MRPL40,CAMK1
TPO,PSME2,PIK3CD,TATDN1,CLIC1
CAND1,NDUFAF6,HAUS7,TLR5,ORAI1
NCAPH2,UBXN10,APEX1,STK39,RPL29
ZNF416,STPG1,EIF3M,YDJC,ISYNA1
MGA,SLCO3A1,ZC3H14,DENND1B,LRRK1
GLIPR1L2,TACSTD2,PDHA1,MRPS24,KLHL17
PWWP2A,PNMA6A,PRPS1,RRAS2,PEAK1
RBMX,CENPW,UTP14A,RBM26,CAD
DYNC1I2,GCC2,CYP24A1,GRSF1,TXNRD2
BANP,HGFAC,RRP1B,LRPPRC,USP25
ATL1,SAMD12,GFOD1,TNFSF12,SLC5A6
CENPM,SPTA1,HSP90AA1,KDM4A,HYAL2
RBM48,ARMC3,NIN,SMG7,PSMA5
USP16,PSME1,CPE,TRMT1L,ZCCHC9
GABPA,CHPF,THRA,BMS1,AGA
CELF1,CTDSP2,ECSIT,LIG3,RPLP1
VPS72,CD2AP,ABHD1,RPL14,GPC1
AKAP9,ZNF792,PARP2,RNFT1,CYP2S1
ZNF764,LTF,MZT2B,RWDD3,ASAP1
CFP,CHDH,SOX18,TRIM71,TWF1
ZNF688,IFNAR1,LRCH1,CAPRIN1,PPM1F
H2AFV,PIGT,ZNF74,SNF8,DCAF6
TRIM33,CYP4B1,ASB13,ALOX12B,RBKS
KANSL3,SNX29,PIK3C2B,TRAF3,CLTB
ADNP2,YRDC,USP11,PDCD2,PLD2
NPAS4,ADAM15,BZW2,INTS3,CHST6
SEC62,SSTR1,CDH5,WDR81,ADRM1
PHF5A,SLC10A3,TUBE1,RPA1,MSX2
ZNF530,HS2ST1,MDH2,PAK1IP1,ABCC3
ADAL,ZNF511,PRRT1,HSF1,NPC1
FIGNL1,PIGM,CCSAP,VRK2,TMEM220
OAZ2,MAD1L1,TSR1,SKA3,IER5L
EID1,MEAF6,EIF2B2,JRKL,PALD1
FRS3,PRR5,ATXN7L2,ATM,ACADVL
PXMP2,DDR1,PPP1R13B,TFAM,SPRYD3
BCLAF1,FZD6,ENO1,GNL3,SDF4
TAF4,SMAP2,URB1,PDSS2,TBC1D2
HIST1H2BB,CMTM6,POLR1D,LARP1,GLB1
CD2BP2,MTHFR,ACOT1,CUL2,LIMD1
BCAS2,LYPD6,NPM3,POU6F1,MPP5
TARDBP,SUDS3,LRRK2,DLGAP2,LMAN2
AP4M1,KIAA0556,TIMM44,PDCD6IP,OSR1
DEK,AFTPH,MRPS30,TSTA3,GNG11
SRP14,DUSP28,NR2E1,ABCB9,DHX32
BRWD1,ZBTB7B,LACTB,TSR1,GLIPR1
ZBTB33,ATP6V1B1,NPR1,ERCC5,EMC1
SRSF4,CCR8,CDCA7,ZNF385D,MRGBP
HNRNPR,DHCR24,DNM1,EIF1AX,RIN3
HAUS2,CAPN9,MICAL3,CLCN3,RRAS2
UBXN4,PRKCD,PLCXD1,INO80,FCHSD1
DTD1,FBXO15,RPL37,CLPX,APOL6
KANSL2,EMC2,DDX10,CAPN13,TNIP2
METTL2A,COQ10B,MCIDAS,GSR,MAN2B2
NCOA6,MRPS15,NDUFAF2,ZMYM2,GALNT2
BBS10,RYR3,VAMP1,POU5F1B,DNPH1
ILKAP,STIM1,CCNK,VPS26A,CDR2L
DNAJC14,GPC5,NKAIN3,HIPK2,TIMP2
VEZF1,CMPK1,YPEL2,UTP6,EPS8L1
BCL7B,PYCR2,DISP2,RPF2,ECHS1
HS3ST4,SLC6A6,FAM189B,FKBP14,SCNN1D
TRAFD1,S100P,ADAMTS20,SNX14,MXRA7
ZDHHC18,QSOX2,MC4R,DNA2,PLEKHF1
BUD13,PPCS,RAI1,AARSD1,SIDT2
CKAP2L,CYB5RL,MMD,NFE2L1,RPS27A
DGCR8,HNRNPF,SLC26A10,ARPC5,SLC22A4
KIF14,LIPT2,TRABD,PSMD14,CCDC69
RTN3,B3GNT2,CLTB,TRIM17,FMNL1
ZNF527,SPTY2D1,KCNB1,COG5,PLCD1
YEATS4,TMEM234,AARSD1,MED11,GJB2
RALA,GMFG,GNAZ,EDEM1,NPM3
NR5A1,ABCD1,RNF157,MLLT6,TP53I3
MAU2,RTKN,ZBTB46,COQ3,NPEPL1
TRA2B,PBX3,TMEM120B,SLC39A4,OSBPL5
RGPD4,WDTC1,MED6,MYO1C,ULBP3
