SCLC-A,SCLC-A2,SCLC-N,SCLC-P,SCLC-Y
NPM2,GCNT1,OLFM2,HOXC13,STOM
ABLIM2,ESRP2,SPNS2,CDC42EP1,PLIN3
STK32A,PLXNA2,PRCD,MICA,AXL
GPR161,KLK1,NGFR,CDK6,IL1RAP
AJAP1,GOLT1A,RPRML,STAP2,ZYX
NANOS3,ZSCAN31,CDH7,FAT3,PROS1
MICALCL,TGIF2LX,GSG1L,ACSS1,CPNE8
CRIP3,PKP3,SLC6A15,MAP4K1,SP100
RHBDL3,INPP4B,JPH4,ME1,GAS2L1
KCNT2,IGFBP5,ZEB1,TMEM63A,SERPINH1
ENOX2,EPAS1,PPFIA2,KIF1C,HFE
STMND1,CADPS2,NKAIN1,TNFRSF18,HMOX1
SMAD9,LYPD1,KIRREL2,AGRN,CLU
SLC35F4,DIRAS2,TMEM132E,PGM5,NOTCH2
TMSB15A,HSH2D,HSPB8,TGIF2,RASSF8
PLEKHG1,MAN1A1,ADCY7,DTX4,DMKN
SNRPN,TMEM125,CLSTN2,HNF4G,OAF
CCBE1,NCALD,ASIC1,RGS2,ADM
COL2A1,UCN3,DPF3,CLDN10,ACTA2
MAP6,CNKSR3,PDLIM4,ETV7,FBXO27
FBN3,PRSS8,SHF,WWC2,TNFSF12
HIST1H4E,FBLN7,CCND2,GSTO2,MFGE8
HRH3,CA6,HBQ1,COLCA2,PPP1R14A
FAM57B,TRIM38,NRXN2,PTPN14,TCIRG1
ZMAT4,ANO9,LAMB1,PKNOX2,WWC2
DMTN,GPC4,SEMA6B,RSPO4,RBPMS2
SYK,FAM84A,SRPX,IFITM2,YBX3
SAMD14,KLRC3,CUX2,CAV2,RAB34
BRSK1,ST14,FHL1,OLIG1,HOXC10
ST8SIA4,PARP10,FAM78B,VIL1,APOBEC3C
FAIM2,NPPA,CLVS1,ARHGAP20,TUBB4A
ELAVL4,TIMP1,SLC7A8,HCK,SERPINB6
CAMK4,ZBTB7C,GALNT14,AK4,ETV4
ZCCHC18,DBH,RTN4RL2,SH3BGRL,GABRE
SOX4,SCNN1A,PHACTR3,NTN1,CLDN1
SYNE3,TMEM154,SLC8A2,RBM38,RHOC
GPR143,SMYD3,RGS10,FAM83B,TNFRSF10D
TAL2,SALL3,ADAP1,PRKCQ,DKK1
ANGPT2,DAPL1,CNTFR,SRXN1,RNF135
KIAA0408,CDH1,RASGRP1,MCOLN2,TAP1
NKX3-1,MUC20,SH2D3C,TEAD3,BCL2L12
AIF1L,SH2D3A,TUBB4A,KCNQ4,ANXA2
MAP1LC3A,SAT1,PHF21B,NABP1,HLA-F
MAGED4,CLDN18,EFS,SAMD5,NFKB2
DBH,FAM178B,SPOCK2,KCTD1,MICB
TUBB3,RNF186,ARHGEF3,OAF,HLA-C
B3GAT1,CNTNAP2,STAC,EFNA4,FBXO2
KCNN1,TPBG,SLC6A11,CPT1A,MYOF
ZNF253,MATN2,ASS1,KDELR3,COL5A1
MAGEL2,FMO5,ARHGDIG,DLG2,NOTCH3
HUNK,FST,CRYBG3,ST6GALNAC3,TMEM200B
RGMB,PHLDA2,TMEM59L,PDZRN3,SIRPA
DOK4,CYP4F3,ICAM5,PLD1,NID1
FRMD5,FRK,CLVS2,FKBP11,SGMS2
CMIP,RAB3B,GRIK5,HSBP1L1,KLHL5
FGF9,CD302,SLC1A2,NOTCH1,ATP8B3
PLA2G3,BDKRB1,CDH12,HOXA1,BIRC3
MAP1B,NMI,OLIG2,CMTM7,ZNF217
SRC,OAS1,SPSB4,PTPN18,AMOTL2
NREP,PARM1,ATP1A3,TPD52L1,LAMB1
TFAP2B,PIK3IP1,CA12,PIK3C2B,IGFBP4
MEGF11,PPFIBP2,TSPAN7,ARHGEF19,TRIP6
LHX2,CA8,THSD7B,EGLN3,AKR1E2
SLC10A4,CDCP1,CDH23,NOTCH2,SMAD3
SNX22,TMEM45B,SYNPO,SEMA3C,CHST3
TRIM36,HOXB4,FRMD6,SIK1,PLEKHA4
DPYSL2,TJP2,PPP1R16B,CTAGE8,MVP
CYP4X1,CHST1,CPEB1,NFATC1,ALDH1A3
CSRP2,ETS1,RCOR2,DAPK1,PCDH7
SLC36A4,TCERG1L,NCAN,YAP1,SP110
KALRN,MGAT4C,PALMD,ELMOD1,CCL2
PMAIP1,PIFO,ELMOD1,CTSH,CCDC102A
DLL4,PDGFB,GALNT5,SLC35D2,TMEM63A
FXYD6,RASD1,ARHGEF4,PCSK5,FBLN1
HIST1H4B,CLDN4,MDGA1,DUSP9,COL6A1
ZBTB20,TNFRSF14,BTBD17,CHST3,SIX5
ZNF704,KCNK1,SEMA5B,SPIB,AGRN
NNAT,HNMT,ALDH1L2,RUNX1,GADD45B
HIST1H3F,TMCO4,AFF2,MYB,TRIM7
PDZD4,LRIG1,PGF,COLGALT2,DSE
SNN,MX2,TNIK,CBS,PLAU
ARMCX1,DNAJC12,ENOX1,IL17RB,ROBO3
PDE6B,PHACTR3,EPHA8,TNFAIP2,BNC2
PARD3B,ITGA9,GALNT16,DAB2,HOXC13
DPF1,SH3RF3,CACNA2D2,SLC7A2,COL18A1
YPEL1,EMP2,HSPA12A,CPVL,IL4R
ZNF730,ARHGAP29,COLGALT2,ATXN1,FSTL3
ZNF439,IFI30,SYNPR,ATP10D,NBPF10
RTP1,CLNK,PTX3,BCL2L12,LOXL2
E2F7,LMCD1,FZD7,RUNX2,KIF1C
DENND2A,PTPRN2,CFL2,FGFR2,RNASE4
MYT1,ENPP2,BEGAIN,GSTP1,EFNA4
HIST1H2BF,SHISA2,GABRA5,RHOBTB1,EHBP1L1
KBTBD11,FAM163B,LDB3,ARHGAP18,MR1
ZNF709,APOL6,L1CAM,GNG13,CCDC80
HES6,TFCP2L1,HS3ST5,EFNA1,LRP10
WDR47,AMACR,SLA,HS3ST3B1,METTL7B
SERPINB8,RASGEF1A,EDN2,NUDT8,ERBB2
CCDC173,LTBR,CRTAC1,ESRP2,TGFBR2
EFNA2,SELENBP1,VAV3,LYN,ITGB4
ZSCAN18,PDE10A,TUBA4A,GCLC,KCNG1
FMN2,NFATC2,ST8SIA2,FBLN5,DOCK1
TMEM179,RGS7,EML6,ERVMER34-1,FNDC3B
YPEL4,VAV1,EYA2,SOSTDC1,RGS10
ARL9,LDLRAD1,EMX1,ST3GAL1,EPDR1
FAM107B,FAAH,SUSD4,IMP4,TUBB6
ISM1,RTBDN,ARHGEF6,CDCP1,COL4A1
STARD4,RASAL1,CYP2W1,AASS,BMP4
GDI1,LY96,LRRC4B,TNFRSF10D,EPAS1
PALM,TMEM173,SLC7A14,IL1RAPL2,MYO1C
MAD2L2,MT2A,RPS6KL1,HOXC4,ACSF2
CACNA1G,DENND2D,GLCE,IL1RAP,CT45A5
HIST1H3B,TMC4,CDKL1,ADAMTS1,EGFL7
ATCAY,KIAA1211L,CPNE7,SH3D19,PDLIM7
IFNLR1,PLEKHB1,SCUBE1,MYRF,EGR1
TMSB15B,PTPRH,SOCS2,BLVRB,SPRY4
ZC2HC1A,HS3ST1,RAB8B,SEMA5A,FRMD6
FRAS1,PAM,NKX2-4,SERPINB6,TNFRSF1A
GLCCI1,ACP5,FEV,DHRS2,SGK1
NDRG4,MFSD2A,TTYH2,PTGS1,PTGR1
GPRC5B,NDRG1,APOBEC2,SKAP2,CSF1
NMNAT3,CD82,NMNAT2,KIT,GALNT14
RHOBTB2,TSPAN15,EEF1A2,EPDR1,TWIST1
INO80C,ANKRD6,CAMKK1,CD79B,BAG3
ZNF177,ETS2,CACNG2,ANO7,BCL3
SERF1A,RORC,CITED1,OSR2,PAPSS2
FYN,LY75,TYRO3,PCOLCE2,DUSP6
SYT11,B3GNT8,SPEG,CHDH,PACSIN3
TCN2,ECM1,GLIPR2,FAH,TNFSF9
ZNF836,KCNS3,KCNJ12,IFITM1,GNG12
ZNF681,NIPAL2,POU3F1,SMAD3,HOMER3
RCAN1,GP2,AFAP1,SFMBT2,NABP1
